name,latitude,longitude,price,ratio
Hongkong,22.28552,114.15769,29440,49.4
Taipei,25.04776,121.53185,10907,27.7
Beijing,39.9075,116.39723,14457,46.8
Shanghai,31.22222,121.45806,13562,43.3
Wuhan,30.58333,114.26667,3886,20.5
Chengdu,30.66667,104.06667,3138,14.6
Nanjing,32.06167,118.77778,6492,31.1
Shenzhen,22.54554,114.0683,13863,45.5
Tokyo,35.6895,139.69171,10870,13.7
Osaka,34.69374,135.50218,4740,9
Nagoya,35.18147,136.90641,7362,10.8
Seoul,37.566,126.9784,12600,20.1
Busan,35.10278,129.04028,5483,9.6
Singapore,1.28967,103.85007,17381,22.3
Ho Chi Minh City,10.82302,106.62965,2418,24.3
Bangkok,13.75398,100.50144,5126,24.7
Kuala Lumpur,3.1412,101.68653,2806,10.7
Mumbai,19.07283,72.88261,7077,42.4
Moscow,55.75222,37.61556,5125,18.5
Saint Petersburg,27.77086,-82.67927,2426,14.5
Paris,48.85341,2.3488,12126,20.5
Nante,47.21725,-1.55336,4263,9.3
Bordeaux,44.84044,-0.5805,5753,13.6
London,51.50853,-0.12574,16365,22
Birmingham,33.52066,-86.80249,4430,8.2
Berlin,52.52437,13.41053,6386,10.6
Munich,48.13743,11.57549,11423,16.6
Amsterdam,52.37403,4.88969,8386,12.5
Rotterdam,51.9225,4.47917,4134,6.7
Eindhoven,51.44083,5.47778,3343,4.9
Barcelona,41.38879,2.15899,5118,13.3
Madrid,40.4165,-3.70256,5711,12.1
Lisbon,38.71667,-9.13333,4723,17.6
Rome,41.89193,12.51133,7820,17.7
Milan,45.46427,9.18951,8310,17.7
Stockholm,59.33258,18.0649,9937,14.4
Helsinki,60.16952,24.93545,7978,11.6
Budapest,47.49801,19.03991,3144,14.7
Zurich,47.36667,8.55,13251,8.8
Brussels,50.85045,4.34878,3511,6.4
New York,40.71427,-74.00597,13762,10.5
San Francisco,37.77493,-122.41942,12687,8.4
Los Angeles,-37.46973,-72.35366,7486,7.6
Chicago,41.85003,-87.65005,3824,3.4
Seattle,47.60621,-122.33207,7180,5.6
Washington,38.89511,-77.03637,6171,4.29
Montreal,45.50884,-73.58781,4039,7
Toronto,43.70011,-79.4163,7957,13.7
Quebec,46.81228,-71.21454,1995,3.5
Ottawa,45.41117,-75.69812,3512,4.5
Sydney,46.1351,-60.1831,9949,11.2
Melbourne,-37.814,144.96332,6581,9.6
Wellington,-41.28664,174.77557,4081,6.1
